icd9_code,icd10_code
801.51,S02.101B
801.51,S02.102B
801.51,S02.109B
801.51,S02.19XB
801.52,S02.101B
801.52,S02.102B
801.52,S02.109B
801.52,S02.19XB
801.53,S02.101B
801.53,S02.102B
801.53,S02.109B
801.53,S02.19XB
801.54,S02.101B
801.54,S02.102B
801.54,S02.109B
801.54,S02.19XB
801.55,S02.101B
801.55,S02.102B
801.55,S02.109B
801.55,S02.19XB
801.56,S02.101B
801.56,S02.102B
801.56,S02.109B
801.56,S02.19XB
802,S02.92
802,S02.92XG
802,S02.92XK
802,S02.92XD
803.0,S02.91XA
803.00,S02.91XA
803.01,S02.91XA
803.02,S02.91XA
803.03,S02.91XA
803.04,S02.91XA
803.05,S02.91XA
803.06,S02.91XA
803.09,S06.0XA
803.09,S06.0XAA
803.09,S06.0XAD
803.09,S06.0X
803.09,S06.0
803.09,S02.91XA
803.5,S02.91XB
803.50,S02.91XB
803.51,S02.91XB
803.52,S02.91XB
803.53,S02.91XB
803.54,S02.91XB
803.55,S02.91XB
803.56,S02.91XB
803.59,S06.0XA
803.59,S06.0XAA
803.59,S06.0XAD
803.59,S06.0X
803.59,S06.0
803.59,S02.91XB
804.5,S02.80
804.5,S02.80XA
804.5,S02.80XB
804.5,S02.80XD
804.5,S02.80XG
804.5,S02.80XK
804.5,S02.81
804.5,S02.81XA
804.5,S02.81XB
804.5,S02.81XD
804.5,S02.81XG
804.5,S02.81XK
804.5,S02.82
804.5,S02.82XA
804.5,S02.82XB
804.5,S02.82XD
804.5,S02.82XG
804.5,S02.82XK
804.5,S02.8XXA
804.5,S02.8XXB
804.5,S02.8
804.5,S02.9
804.50,S02.91XB
804.52,S02.80XB
804.52,S02.81XB
804.52,S02.82XB
804.52,S72.101H
804.52,S12.112B
804.52,S72.099M
804.52,S72.101F
804.52,S72.109E
804.52,S72.109F
804.52,S12.110B
804.52,S72.091C
804.52,S72.091R
804.52,S72.092C
804.52,S72.101Q
804.52,S72.101R
804.52,S72.109C
804.52,S72.109H
804.52,S12.130B
804.52,S72.091B
804.52,S72.092J
804.52,S72.099C
804.52,S12.131B
804.52,S72.092R
804.52,S72.099B
804.52,S72.099J
804.52,S72.102J
804.52,S12.111B
804.52,S72.091M
804.52,S72.091N
804.52,S72.099F
804.52,S72.101M
804.52,S72.109N
804.52,S12.041B
804.52,S72.091Q
804.52,S12.150B
804.52,S72.092E
804.52,S72.092N
804.52,S72.099E
804.52,S72.101E
804.52,S72.101J
804.52,S72.102R
804.52,S72.109J
804.52,S12.040B
804.52,S72.091J
804.52,S72.102B
804.52,S72.102N
804.52,S02.8XXB
804.52,S12.151B
804.52,S72.101B
804.52,S72.102C
804.52,S72.092H
804.52,S72.101N
804.52,S72.102E
804.52,S72.102Q
804.52,S12.14XB
804.52,S72.091H
804.52,S72.092B
